file,title,meta_description_length,canonical,h1_count,image_count,missing_alt,missing_loading
index.html,Churchill Memorials — Desktop Rebuild Prototype,172,https://churchillmemorials.co.uk/,15,23,0,0
product/bloom-vase/index.html,Bloom Vase | Churchill Memorials,151,https://churchillmemorials.co.uk/product/bloom-vase/,1,1,0,0
product/pearl-vase/index.html,Pearl Vase | Churchill Memorials,151,https://churchillmemorials.co.uk/product/pearl-vase/,1,2,0,0
product/ivy-vase/index.html,Ivy Vase | Churchill Memorials,149,https://churchillmemorials.co.uk/product/ivy-vase/,1,1,0,0
product/willow-vase/index.html,Willow Vase | Churchill Memorials,154,https://churchillmemorials.co.uk/product/willow-vase/,1,1,0,0
product/tender-vase/index.html,Tender Vase | Churchill Memorials,154,https://churchillmemorials.co.uk/product/tender-vase/,1,1,0,0
product/sable-grace/index.html,Sable Grace | Churchill Memorials,154,https://churchillmemorials.co.uk/product/sable-grace/,1,1,0,0
product/dawn-stone/index.html,Dawn Stone | Churchill Memorials,157,https://churchillmemorials.co.uk/product/dawn-stone/,1,1,0,0
product/evening-grace/index.html,Evening Grace | Churchill Memorials,156,https://churchillmemorials.co.uk/product/evening-grace/,1,1,0,0
product/soft-light/index.html,Soft Light | Churchill Memorials,157,https://churchillmemorials.co.uk/product/soft-light/,1,1,0,0
product/peace-heart/index.html,Peace Heart | Churchill Memorials,154,https://churchillmemorials.co.uk/product/peace-heart/,1,1,0,0
product/lily-heart/index.html,Lily Heart | Churchill Memorials,147,https://churchillmemorials.co.uk/product/lily-heart/,1,1,0,0
product/golden-heart/index.html,Golden Heart | Churchill Memorials,149,https://churchillmemorials.co.uk/product/golden-heart/,1,2,0,0
product/sweet-heart/index.html,Sweet Heart | Churchill Memorials,148,https://churchillmemorials.co.uk/product/sweet-heart/,1,2,0,0
product/forever-heart/index.html,Forever Heart | Churchill Memorials,150,https://churchillmemorials.co.uk/product/forever-heart/,1,2,0,0
